epoch,map50,l_box,l_obj,l_cls,n_pos,val_preds_kept,val_gt_images,val_gt_boxes,ap_aircraft,ap_ship,ap_human
1,0.0,0.4636950468023618,0.041011312045156956,0.06091095041483641,270.0,829,53,53,0.0,0.0,0.0
2,0.0,0.36750802646080655,0.028878712716201942,0.056176403226951756,270.75,848,53,53,0.0,0.0,0.0
3,0.0,0.35728222380081814,0.020747728723411758,0.05069355325152477,273.0,871,53,53,0.0,0.0,0.0
4,0.0,0.36170395463705063,0.020378396070251863,0.04852879621709386,273.75,856,53,53,0.0,0.0,0.0
5,0.0,0.34043890486160916,0.017055533671130736,0.048856884241104126,273.0,834,53,53,0.0,0.0,0.0
6,0.0,0.3434259966015816,0.016837915871292353,0.045749809592962265,275.25,829,53,53,0.0,0.0,0.0
7,0.0,0.32446101556221646,0.015257166310523948,0.04563929978758097,272.25,820,53,53,0.0,0.0,0.0
8,0.0,0.31405624250570935,0.013655972511818012,0.046270919032394886,273.75,823,53,53,0.0,0.0,0.0
9,0.0,0.3084491069118182,0.01203985845980545,0.041331322863698006,270.0,796,53,53,0.0,0.0,0.0
10,0.0,0.32828300322095555,0.01285400513249139,0.04591149929910898,270.0,774,53,53,0.0,0.0,0.0
