epoch,map50,l_box,l_obj,l_cls,n_pos,val_preds_kept,val_gt_images,val_gt_boxes,ap_aircraft,ap_ship,ap_human
1,0.12216357785192403,0.5617112070322037,0.039216568072636925,0.04350592475384474,270.0,782,53,53,0.0,0.15362581339749423,0.0
2,0.12367911467498,0.4601188252369563,0.026528562263896067,0.03678684619565805,270.75,765,53,53,0.0,0.16136363690549677,0.0
3,0.12404155494137244,0.45251987874507904,0.022798405028879642,0.03569182908783356,275.25,734,53,53,0.0,0.1626033051447435,0.0
4,0.12323819507252086,0.43584679812192917,0.018195068774123985,0.033451854872206845,272.25,710,53,53,0.0,0.16316466575319116,0.0
5,0.1184412996199998,0.4226437235871951,0.014970942555616299,0.03194061961645881,273.0,714,53,53,0.0,0.16409090974114157,0.0
6,0.12334856695749542,0.39920973281065625,0.01122589607257396,0.031241619338591892,270.0,709,53,53,0.0,0.1651353971524672,0.0
7,0.123419504951347,0.37851763765017193,0.010170897624144951,0.031046977421889704,270.75,701,53,53,0.0,0.16590909118002112,0.0
8,0.1233908087015152,0.37427285065253574,0.010177925772344073,0.03048333867142598,270.0,686,53,53,0.0,0.1667547564614903,0.0
9,0.12343401766636154,0.41437533249457675,0.009359939799954494,0.031480474242319666,273.0,675,53,53,0.0,0.17532467706636948,0.0
10,0.12475822154771198,0.35570429017146427,0.008709815990490219,0.031385617020229496,270.75,672,53,53,0.0,0.1744391985914924,0.0
