epoch,map50,l_box,l_obj,l_cls,n_pos,val_preds_kept,val_gt_images,val_gt_boxes,ap_aircraft,ap_ship,ap_human
1,0.03030303120613098,0.46101613094409305,0.037183127055565514,0.06028514572729667,273.0,1690,53,53,0.0,0.03030303120613098,0.0
2,0.022727272727272728,0.35560323546330136,0.02719090475390355,0.05415822037806114,273.75,1658,53,53,0.0,0.022727272727272728,0.0
3,0.01515151560306549,0.34855808069308597,0.02175854689752062,0.05172927832851807,272.25,1605,53,53,0.0,0.01515151560306549,0.0
4,0.01298701356757771,0.3351067279775937,0.016374134458601475,0.04865974746644497,271.5,1555,53,53,0.0,0.01298701356757771,0.0
5,0.011363636363636364,0.3329501450061798,0.015890844554329913,0.048297994770109653,273.75,1436,53,53,0.0,0.011363636363636364,0.0
6,0.005347593602809039,0.3476194317142169,0.01320601774690052,0.045075501315295696,270.0,1354,53,53,0.0,0.005347593602809039,0.0
7,0.002932551232251254,0.34915190438429516,0.0144147042495509,0.04628513163576523,274.5,1226,53,53,0.0,0.002932551232251254,0.0
8,0.0013271400027654388,0.32829362402359646,0.015126833071311315,0.042977080680429935,269.25,1119,53,53,0.0,0.0013271400027654388,0.0
9,0.0006861063567074863,0.3302479361494382,0.011371944099664688,0.04368234581003586,272.25,1029,53,53,0.0,0.0006861063567074863,0.0
10,0.0003317850006913597,0.32469117641448975,0.00858743826393038,0.0373269886088868,270.0,962,53,53,0.0,0.0003317850006913597,0.0
