epoch,map50,l_box,l_obj,l_cls,n_pos,val_preds_kept,val_gt_images,val_gt_boxes,ap_aircraft,ap_ship,ap_human
1,0.003953279611074699,0.45989350974559784,0.03732756416623791,0.04511143919080496,273.0,1686,53,53,0.9056603773584906,0.003953279611074699,0.8867924528301887
2,0.0032756813573387436,0.3554812918106715,0.02725289606799682,0.040944463262955345,273.75,1678,53,53,0.9056603773584906,0.0032756813573387436,0.8867924528301887
3,0.0026586621578009624,0.3547760794560115,0.022423344819496076,0.04044098469118277,272.25,1667,53,53,0.9056603773584906,0.0026586621578009624,0.8867924528301887
4,0.0018960416035832099,0.34312048306067783,0.018027621631820995,0.03657947356502215,271.5,1551,53,53,0.9056603773584906,0.0018960416035832099,0.8867924528301887
5,0.0017792122825136725,0.3338608170549075,0.0173859940841794,0.03785347410788139,273.75,1406,53,53,0.9056603773584906,0.0017792122825136725,0.8867924528301887
6,0.0007547170345513326,0.34847014645735425,0.014107747003436089,0.03407517789552609,270.0,1249,53,53,0.9056603773584906,0.0007547170345513326,0.8867924528301887
7,0.0,0.3549438863992691,0.01548866811208427,0.03335539825881521,274.5,1121,53,53,0.9056603773584906,0.0,0.8867924528301887
8,0.0,0.3238961125413577,0.01372347834209601,0.03203797868142525,269.25,1044,53,53,0.9056603773584906,0.0,0.8867924528301887
9,0.0,0.32609876493612927,0.01127168683645626,0.03266167671730121,272.25,1006,53,53,0.9056603773584906,0.0,0.8867924528301887
10,0.0,0.3254042739669482,0.008999361578995982,0.03192918670053283,270.0,986,53,53,0.9056603773584906,0.0,0.8867924528301887
