epoch,map50,l_box,l_obj,l_cls,n_pos,val_preds_kept,val_gt_images,val_gt_boxes,ap_aircraft,ap_ship,ap_human
1,0.0,0.46370186160008114,0.04100461956113577,0.06090333436926206,270.0,829,53,53,0.0,0.0,0.0
2,0.0,0.3712497701247533,0.028786486790825922,0.056102936156094074,270.75,850,53,53,0.0,0.0,0.0
3,0.0,0.35943669080734253,0.020721737916270893,0.050639055048425995,273.0,876,53,53,0.0,0.0,0.0
4,0.0,0.3657696296771367,0.01974772079847753,0.04907052746663491,273.75,860,53,53,0.0,0.0,0.0
5,0.0,0.33740827689568204,0.01580073203270634,0.047042498365044594,273.0,826,53,53,0.0,0.0,0.0
6,0.0,0.33036691943804425,0.013647367712110281,0.04190592095255852,275.25,828,53,53,0.0,0.0,0.0
7,0.0,0.298760029176871,0.012372158312549194,0.043391343827048935,272.25,829,53,53,0.0,0.0,0.0
8,0.0,0.30959731092055637,0.01143647792438666,0.043927499713997044,273.75,841,53,53,0.0,0.0,0.0
9,0.0,0.310814509789149,0.011112514417618513,0.042495456213752426,270.0,853,53,53,0.0,0.0,0.0
10,0.0,0.30294153466820717,0.01022777589969337,0.04490292196472486,270.0,846,53,53,0.0,0.0,0.0
11,0.0,0.3108922988176346,0.008508341270498931,0.0387974896778663,273.0,847,53,53,0.0,0.0,0.0
12,0.0,0.3138083765904109,0.008138332709980508,0.0379476435482502,276.0,854,53,53,0.0,0.0,0.0
13,0.0,0.316615695754687,0.008220174117013812,0.03774299224217733,270.75,847,53,53,0.0,0.0,0.0
14,0.0,0.2760193372766177,0.0074094241329779225,0.03879155404865742,271.5,826,53,53,0.0,0.0,0.0
15,0.0,0.2668282128870487,0.007701606800158818,0.03797163131336371,270.75,802,53,53,0.0,0.0,0.0
16,0.0,0.2556095818678538,0.007090678981815775,0.03466084459796548,270.75,780,53,53,0.0,0.0,0.0
17,0.0,0.2575171949962775,0.006592526857275516,0.03504807284722725,272.25,746,53,53,0.0,0.0,0.0
18,0.0,0.247844564417998,0.005631666746921837,0.03314300750692686,270.75,689,53,53,0.0,0.0,0.0
19,0.0,0.2331013803680738,0.0060178891678030295,0.035095619348188244,270.75,446,53,53,0.0,0.0,0.0
20,0.0007905137979171493,0.21910202379028001,0.0050829562824219465,0.032269380831470094,269.25,378,53,53,0.005533596585420045,0.0,0.0
21,0.0007596860047091137,0.2303926758468151,0.0055191076050202055,0.03270381689071655,272.25,368,53,53,0.005317802032963796,0.0,0.0
22,0.0002568053420294415,0.22569456944863,0.00563627735634024,0.03323343194400271,274.5,358,53,53,0.0007704160260883244,0.0,0.0
23,0.0002560819372196089,0.21514641493558884,0.004906542521590988,0.0332183043162028,270.0,356,53,53,0.0007682458116588267,0.0,0.0
24,0.0,0.2073158249258995,0.005026048320966463,0.029712351970374584,273.0,357,53,53,0.0,0.0,0.0
25,0.0,0.20928812647859255,0.004727498899834852,0.03394735775267085,271.5,358,53,53,0.0,0.0,0.0
26,0.0,0.21679297213753065,0.004098608003308375,0.029160679085180163,273.0,358,53,53,0.0,0.0,0.0
