epoch,map50,l_box,l_obj,l_cls,n_pos,val_preds_kept,val_gt_images,val_gt_boxes,ap_aircraft,ap_ship,ap_human
1,0.03030303120613098,0.4598389267921448,0.037330259258548416,0.04512147605419159,273.0,1688,53,53,0.0,0.03030303120613098,0.0
2,0.03030303120613098,0.3554997891187668,0.027268617569158476,0.04095573785404364,273.75,1678,53,53,0.0,0.03030303120613098,0.0
3,0.022727272727272728,0.3544447844227155,0.0224185084613661,0.0404327642172575,272.25,1666,53,53,0.0,0.022727272727272728,0.0
4,0.010101010176268492,0.34226051966349286,0.01796253809394936,0.03650211760153373,271.5,1558,53,53,0.0,0.010101010176268492,0.0
5,0.005865102464502508,0.3248762289683024,0.017535585211589932,0.03565189071620504,273.75,1410,53,53,0.0,0.005865102464502508,0.0
6,0.003636363555084575,0.35655313233534497,0.013828034357478222,0.0369202671572566,270.0,1241,53,53,0.0,0.003636363555084575,0.0
7,0.0014316392215815458,0.34417923043171567,0.013297525467351079,0.03389883538087209,274.5,1128,53,53,0.0,0.0014316392215815458,0.0
8,0.0011435105380686846,0.32417720307906467,0.012298052742456397,0.031317486272503935,269.25,1074,53,53,0.0,0.0011435105380686846,0.0
9,0.0008456659587946805,0.3176669751604398,0.011214268316204349,0.033160068870832525,272.25,1029,53,53,0.0,0.0008456659587946805,0.0
10,0.0006000600247220559,0.31361382951339084,0.010786798316985369,0.03346344238768021,270.0,1000,53,53,0.0,0.0006000600247220559,0.0
