epoch,map50,l_box,l_obj,l_cls,n_pos,val_preds_kept,val_gt_images,val_gt_boxes,ap_aircraft,ap_ship,ap_human
1,0.0,0.46560568114121753,0.041045040202637516,0.04632386099547148,270.0,830,53,53,0.0,0.20754716981132076,0.8867924528301887
2,0.0,0.364748847981294,0.029204250313341618,0.0426397475724419,270.75,853,53,53,0.0,0.20754716981132076,0.8867924528301887
3,0.0,0.3616343289613724,0.021244331961497664,0.03864103307326635,273.0,870,53,53,0.0,0.20754716981132076,0.8867924528301887
4,0.0,0.37157439688841504,0.019579025528704126,0.03751577126483122,273.75,852,53,53,0.0,0.20754716981132076,0.8867924528301887
5,0.0,0.33060092478990555,0.01634631911292672,0.03623793491472801,273.0,837,53,53,0.0,0.20754716981132076,0.8867924528301887
6,0.0,0.3284476026892662,0.014383027795702219,0.03292918360481659,275.25,846,53,53,0.0,0.20754716981132076,0.8867924528301887
7,0.0,0.29990162203709286,0.011740218149498105,0.03180162375792861,272.25,833,53,53,0.0,0.20754716981132076,0.8867924528301887
8,0.0,0.3159296562274297,0.011093410896137357,0.03283133512983719,273.75,829,53,53,0.0,0.20754716981132076,0.8867924528301887
9,0.0,0.2928527171413104,0.010620159368651608,0.03240311875318488,270.0,822,53,53,0.0,0.20754716981132076,0.8867924528301887
10,0.0,0.2925326240559419,0.00913587627777209,0.036952623166143894,270.0,826,53,53,0.0,0.20754716981132076,0.8867924528301887
