epoch,map50,l_box,l_obj,l_cls,n_pos,val_preds_kept,val_gt_images,val_gt_boxes,ap_aircraft,ap_ship,ap_human
1,0.03030303120613098,0.45926259209712345,0.03734571967894832,0.045137915605058275,273.0,1688,53,53,0.0,0.03030303120613098,0.0
2,0.03030303120613098,0.3546821748216947,0.027219564964373905,0.04092017374932766,273.75,1683,53,53,0.0,0.03030303120613098,0.0
3,0.018181818452748386,0.3529547428091367,0.022265263677885134,0.04022489208728075,272.25,1674,53,53,0.0,0.018181818452748386,0.0
4,0.01298701356757771,0.341497336824735,0.017397503756607573,0.036562179836134114,271.5,1596,53,53,0.0,0.01298701356757771,0.0
5,0.006993007253516804,0.3319368784626325,0.016637681983411312,0.037040237026909985,273.75,1463,53,53,0.0,0.006993007253516804,0.0
6,0.002066115764054385,0.3493807539343834,0.013675284416725239,0.034346395172178745,270.0,1303,53,53,0.0,0.002066115764054385,0.0
7,0.000688705254684795,0.3414704700311025,0.013673311177020272,0.03470639465376735,274.5,1153,53,53,0.0,0.000688705254684795,0.0
8,0.00036656890403140676,0.3224589029947917,0.015515480423346162,0.035274697778125606,269.25,1055,53,53,0.0,0.00036656890403140676,0.0
9,0.00015076134480874646,0.32724373042583466,0.012337278729925552,0.03482605144381523,272.25,1017,53,53,0.0,0.00015076134480874646,0.0
10,9.630200326104055e-05,0.328069344162941,0.008966930210590363,0.029381892799089353,270.0,967,53,53,0.0,9.630200326104055e-05,0.0
