epoch,map50,l_box,l_obj,l_cls,n_pos,val_preds_kept,val_gt_images,val_gt_boxes,ap_aircraft,ap_ship,ap_human
1,0.0,0.4637721801797549,0.0410066694021225,0.06090304131309191,270.0,829,53,53,0.0,0.0,0.0
2,0.0,0.3688331221540769,0.028864674425373476,0.056138252218564354,270.75,848,53,53,0.0,0.0,0.0
3,0.0,0.35521529614925385,0.020747452586268384,0.050562794941167034,273.0,873,53,53,0.0,0.0,0.0
4,0.0,0.3641651024421056,0.020123232854530215,0.048777395548919834,273.75,854,53,53,0.0,0.0,0.0
5,0.0,0.334219994644324,0.016381436648468178,0.04828556099285682,273.0,825,53,53,0.0,0.0,0.0
6,0.0,0.3285820508996646,0.014656237714613477,0.043704707796374954,275.25,820,53,53,0.0,0.0,0.0
7,0.0,0.3045378898580869,0.012728495445723334,0.043365104123950005,272.25,819,53,53,0.0,0.0,0.0
8,0.0,0.3212757681806882,0.011628288853292664,0.04410775409390529,273.75,812,53,53,0.0,0.0,0.0
9,0.0,0.2945539603630702,0.010669071149701873,0.04684145965923866,270.0,807,53,53,0.0,0.0,0.0
10,0.0,0.3089912571012974,0.009720513868766526,0.045184342811505,270.0,797,53,53,0.0,0.0,0.0
11,0.0,0.30262521902720135,0.009098575101234019,0.04146482686822613,273.0,774,53,53,0.0,0.0,0.0
12,0.0,0.3082002227505048,0.007260735263116658,0.04068904727076491,276.0,762,53,53,0.0,0.0,0.0
13,0.0,0.2931520417332649,0.006361621315591037,0.0386034680219988,270.75,729,53,53,0.0,0.0,0.0
14,0.0,0.26850613579154015,0.006823401742925246,0.040202368361254535,271.5,680,53,53,0.0,0.0,0.0
15,0.0,0.263313215225935,0.0071314796805381775,0.03760865144431591,270.75,646,53,53,0.0,0.0,0.0
16,0.0012804097072644668,0.2592923765381177,0.006608634799097975,0.03573424617449442,270.75,552,53,53,0.010691577907313,0.0,0.0
17,0.001117734746499495,0.2539522821704547,0.006962760933674872,0.035951927614708744,272.25,497,53,53,0.0292643281546506,0.0,0.0
18,0.0010530010543086312,0.2439446101586024,0.005709127561810116,0.034991990930090346,270.75,469,53,53,0.008473367853598162,0.0,0.0
