epoch,map50,l_box,l_obj,l_cls,n_pos,val_preds_kept,val_gt_images,val_gt_boxes,ap_aircraft,ap_ship,ap_human
1,0.12216357785192403,0.5608578845858574,0.03929211478680372,0.0567928534001112,270.0,781,53,53,0.0,0.15362581339749423,0.0
2,0.12367911467498,0.4534910321235657,0.027083488802115124,0.04855168921252092,270.75,764,53,53,0.0,0.16136363690549677,0.0
3,0.12401185658845035,0.44256726404031116,0.02338198556875189,0.047314068457732596,275.25,740,53,53,0.0,0.1626033051447435,0.0
4,0.12113174321976575,0.41674797733624774,0.018920283298939466,0.04412407769511143,272.25,726,53,53,0.0,0.1637700538743626,0.0
5,0.11810084398497235,0.4161365479230881,0.015212714516868195,0.04261635368069013,273.0,716,53,53,0.0,0.16409090974114157,0.0
6,0.11811481924219565,0.3877534667650859,0.012499558351313075,0.04177851260950168,270.0,716,53,53,0.0,0.16409090974114157,0.0
7,0.11828039518811485,0.358594944079717,0.011518940096721053,0.04207335505634546,270.75,712,53,53,0.0,0.16551383381540125,0.0
8,0.11832820928909561,0.3771276871363322,0.010573203365008036,0.042243338810900845,270.0,708,53,53,0.0,0.17325228181752292,0.0
9,0.12048024040731517,0.3963344320654869,0.008437257648135224,0.040668400625387825,273.0,704,53,53,0.0,0.174871641126546,0.0
10,0.12170294604518196,0.3533221185207367,0.007996724918484688,0.04033206651608149,270.75,700,53,53,0.0,0.174871641126546,0.0
