epoch,map50,l_box,l_obj,l_cls,n_pos,val_preds_kept,val_gt_images,val_gt_boxes,ap_aircraft,ap_ship,ap_human
1,0.03030303120613098,0.4601227641105652,0.03730703657492995,0.0451110132659475,273.0,1686,53,53,0.0,0.03030303120613098,0.0
2,0.03030303120613098,0.35711852709452313,0.027408206680168707,0.04094104375690222,273.75,1682,53,53,0.0,0.03030303120613098,0.0
3,0.018181818452748386,0.3580594261487325,0.022307366287956636,0.040121830689410366,272.25,1658,53,53,0.0,0.018181818452748386,0.0
4,0.01298701356757771,0.33799873292446136,0.017956087986628216,0.03625199074546496,271.5,1571,53,53,0.0,0.01298701356757771,0.0
5,0.006993007253516804,0.328243650496006,0.01764204779950281,0.037111093600591026,273.75,1422,53,53,0.0,0.006993007253516804,0.0
6,0.0015810275958342986,0.35574546456336975,0.013805189014722904,0.034356327106555305,270.0,1269,53,53,0.0,0.0015810275958342986,0.0
7,0.0009276437657800587,0.3548377752304077,0.01340918925901254,0.03383618562171856,274.5,1139,53,53,0.0,0.0009276437657800587,0.0
8,0.0006447453051805496,0.3265476164718469,0.014045349399869641,0.03287896839901805,269.25,1024,53,53,0.0,0.0006447453051805496,0.0
9,0.0005254860628734936,0.32918863495190936,0.012345744064077735,0.03366348799318075,272.25,977,53,53,0.0,0.0005254860628734936,0.0
10,0.0003463203426111828,0.3265185554822286,0.010072607275409004,0.031189799619217713,270.0,953,53,53,0.0,0.0003463203426111828,0.0
