epoch,map50,l_box,l_obj,l_cls,n_pos,val_preds_kept,val_gt_images,val_gt_boxes,ap_aircraft,ap_ship,ap_human
1,0.0,0.4660349761446317,0.04104356622944275,0.04632094316184521,270.0,830,53,53,0.0,0.20754716981132076,0.8867924528301887
2,0.0,0.3648797795176506,0.02922014022866885,0.04281271155923605,270.75,850,53,53,0.0,0.20754716981132076,0.8867924528301887
3,0.0,0.35574020942052204,0.021967408945783973,0.03922838314125935,273.0,874,53,53,0.0,0.20754716981132076,0.8867924528301887
4,0.0,0.36256515979766846,0.018674791635324556,0.03827981371432543,273.75,856,53,53,0.0,0.20754716981132076,0.8867924528301887
5,0.0,0.3293510749936104,0.016990891735379893,0.03657806167999903,273.0,840,53,53,0.0,0.20754716981132076,0.8867924528301887
6,0.0,0.33430880308151245,0.014883707044646144,0.03360442149763306,275.25,833,53,53,0.0,0.20754716981132076,0.8867924528301887
7,0.0,0.30927079170942307,0.011990767903625965,0.032670580161114536,272.25,823,53,53,0.0,0.20754716981132076,0.8867924528301887
8,0.0,0.3318752845128377,0.011619352890799442,0.03378768761952718,273.75,823,53,53,0.0,0.20754716981132076,0.8867924528301887
9,0.0,0.3010741447408994,0.011084765661507845,0.03079740439231197,270.0,831,53,53,0.0,0.20754716981132076,0.8867924528301887
10,0.0,0.29486814389626187,0.01129076563908408,0.039104605869700514,270.0,833,53,53,0.0,0.20754716981132076,0.8867924528301887
