epoch,map50,l_box,l_obj,l_cls,n_pos,val_preds_kept,val_gt_images,val_gt_boxes,ap_aircraft,ap_ship,ap_human
1,0.03030303120613098,0.4599625766277313,0.03733134393890699,0.04512018974249562,273.0,1689,53,53,0.0,0.03030303120613098,0.0
2,0.03030303120613098,0.3561295196413994,0.02732527256011963,0.040949239395558834,273.75,1681,53,53,0.0,0.03030303120613098,0.0
3,0.018181818452748386,0.3558361381292343,0.022281671098122995,0.04022434136519829,272.25,1657,53,53,0.0,0.018181818452748386,0.0
4,0.011363636363636364,0.34233158081769943,0.01732672533641259,0.03644532368828853,271.5,1559,53,53,0.0,0.011363636363636364,0.0
5,0.005681818181818182,0.3374564970533053,0.017240958676363032,0.03766617768754562,273.75,1428,53,53,0.0,0.005681818181818182,0.0
6,0.0019342359155416489,0.35733229170242947,0.013809221253419915,0.03456045128405094,270.0,1276,53,53,0.0,0.0019342359155416489,0.0
7,0.0007243752479553223,0.3511543075243632,0.014091891081382832,0.03347412729635835,274.5,1131,53,53,0.0,0.0007243752479553223,0.0
8,0.00036436509848995644,0.32178161293268204,0.01517056153776745,0.03268925085042914,269.25,1022,53,53,0.0,0.00036436509848995644,0.0
9,0.00011522064662792467,0.32583676526943844,0.013441360012317697,0.03485556753973166,272.25,993,53,53,0.0,0.00011522064662792467,0.0
10,0.0,0.3257325390974681,0.010936283816893896,0.029683570377528667,270.0,1008,53,53,0.0,0.0,0.0
