epoch,map50,l_box,l_obj,l_cls,n_pos,val_preds_kept,val_gt_images,val_gt_boxes,ap_aircraft,ap_ship,ap_human
1,0.0,0.854387621084849,0.01243101650228103,0.6444174846013387,270.0,4240,53,53,0.9056603773584906,0.0,0.8867924528301887
2,0.05057652113642895,0.7352883120377859,0.009251215339948734,0.5482007215420405,270.75,4240,53,53,0.9056603773584906,0.05057652113642895,0.8490566037735849
3,0.060256410390138626,0.6462523813048998,0.00723345042206347,0.4847958832979202,275.25,4240,53,53,0.24528301886792453,0.0979922594467424,0.2830188679245283
4,0.11489423097304578,0.61491359770298,0.006493797719789048,0.4849626024564107,272.25,4240,53,53,0.2641509433962264,0.11489423097304578,0.4339622641509434
