epoch,map50,l_box,l_obj,l_cls,n_pos,val_preds_kept,val_gt_images,val_gt_boxes,ap_aircraft,ap_ship,ap_human
1,0.0,0.8543842881917953,0.6177717099587122,0.5683676029245058,270.0,5300,53,53,0.9056603773584906,0.018867924528301886,0.11320754716981132
2,0.0,0.6969031890233358,0.4180327206850052,0.4601521318157514,270.75,5001,53,53,0.16981132075471697,0.18867924528301888,0.03773584905660377
3,0.0,0.6322421878576279,0.30466031034787494,0.4306630752980709,275.25,3965,53,53,0.07547169811320754,0.18867924528301888,0.24528301886792453
4,0.0,0.6334817161162695,0.2481535238524278,0.4621995836496353,272.25,3656,53,53,0.33962264150943394,0.03773584905660377,0.3018867924528302
5,0.0,0.6017941385507584,0.16581683109203973,0.4521941790978114,273.0,672,53,53,0.6415094339622641,0.09433962264150944,0.6981132075471698
6,0.0,0.5912142992019653,0.12774454429745674,0.38371746987104416,270.0,80,53,53,0.7735849056603774,0.1509433962264151,0.8867924528301887
7,0.0,0.5764357596635818,0.10760696915288766,0.4114794085423152,270.75,35,53,53,0.8867924528301887,0.18867924528301888,0.8867924528301887
8,0.0,0.5624053180217743,0.09516717679798603,0.4363127623995145,270.0,122,53,53,0.8679245283018868,0.16981132075471697,0.8679245283018868
9,0.0,0.5543889726201693,0.08177871691683929,0.40701740980148315,273.0,102,53,53,0.8679245283018868,0.18867924528301888,0.8679245283018868
10,0.0,0.5277440200249354,0.06687038019299507,0.45787622779607773,270.75,66,53,53,0.8867924528301887,0.20754716981132076,0.8679245283018868
