epoch,map50,l_box,l_obj,l_cls,n_pos,val_preds_kept,val_gt_images,val_gt_boxes,ap_aircraft,ap_ship,ap_human
1,0.0,0.8484469552834829,0.6178269336620966,0.5703552141785622,270.0,15900,53,53,0.9056603773584906,0.0,0.0
2,0.0,0.7187550862630209,0.4257836565375328,0.477949154873689,270.75,14802,53,53,0.05660377358490566,0.0,0.2830188679245283
3,0.0,0.6823420772949854,0.3176698808868726,0.4448682976265748,275.25,14752,53,53,0.0,0.018867924528301886,0.03773584905660377
4,0.0001626545211897706,0.6206854556997617,0.2329187529782454,0.4611205905675888,272.25,13216,53,53,0.0,0.0002144082396660211,0.11320754716981132
5,0.0005549389939263181,0.6317638953526815,0.1845772216717402,0.4511010820666949,273.0,11826,53,53,0.16981132075471697,0.0005549389939263181,0.2830188679245283
6,0.010441426618270716,0.608058566848437,0.1543200487891833,0.3878886252641678,270.0,9980,53,53,0.09433962264150944,0.010677219834178686,0.16981132075471697
7,0.012240623246948674,0.5785756458838781,0.12355686289568742,0.4399822453657786,270.75,8397,53,53,0.20754716981132076,0.01259426638167703,0.20754716981132076
8,0.06514212978511767,0.564814880490303,0.09797004424035549,0.4460860441128413,270.0,9700,53,53,0.22641509433962265,0.06590515389195029,0.03773584905660377
9,0.012299361480575687,0.57292190939188,0.08215819795926411,0.4056803410251935,273.0,6332,53,53,0.39622641509433965,0.01234877466241706,0.33962264150943394
10,0.004784506587487347,0.545428050061067,0.07815484640498956,0.46896706024805707,270.75,9147,53,53,0.18867924528301888,0.008155607012153234,0.11320754716981132
