epoch,map50,l_box,l_obj,l_cls,n_pos,val_preds_kept,val_gt_images,val_gt_boxes,ap_aircraft,ap_ship,ap_human
1,0.0,0.4556705007950465,0.05294266870866219,0.06186259010185798,273.0,0,53,53,0.9056603773584906,0.20754716981132076,0.8867924528301887
2,0.0,0.35759783784548443,0.04062802313516537,0.05785031368335088,273.75,0,53,53,0.9056603773584906,0.20754716981132076,0.8867924528301887
3,0.0,0.34606827050447464,0.03395387949422002,0.05640705736974875,272.25,0,53,53,0.9056603773584906,0.20754716981132076,0.8867924528301887
4,0.0,0.3296236942211787,0.02693507820367813,0.052288779678444065,271.5,0,53,53,0.9056603773584906,0.20754716981132076,0.8867924528301887
