epoch,map50,l_box,l_obj,l_cls,n_pos,val_preds_kept,val_gt_images,val_gt_boxes,ap_aircraft,ap_ship,ap_human
1,0.0,0.8613400161266327,0.6223577260971069,0.5684976528088251,270.0,0,53,53,0.9056603773584906,0.20754716981132076,0.8867924528301887
2,0.0,0.6991346130768458,0.43571918457746506,0.47682853043079376,270.75,0,53,53,0.9056603773584906,0.20754716981132076,0.8867924528301887
3,0.0,0.6366730531056722,0.31301862746477127,0.43791799371441203,275.25,2,53,53,0.9056603773584906,0.20754716981132076,0.8867924528301887
4,0.0,0.5989645818869272,0.23482730984687805,0.456471619506677,272.25,194,53,53,0.8867924528301887,0.1509433962264151,0.6981132075471698
5,0.0,0.5979724725087484,0.1742542547484239,0.44519952932993573,273.0,156,53,53,0.8867924528301887,0.1509433962264151,0.8113207547169812
6,0.0,0.5695276955763499,0.14004093036055565,0.3912187268336614,270.0,64,53,53,0.8490566037735849,0.18867924528301888,0.8490566037735849
7,0.0,0.5640234549840292,0.10501754780610402,0.41758376856644946,270.75,49,53,53,0.8490566037735849,0.18867924528301888,0.8490566037735849
8,0.0,0.5665340746442477,0.08820117637515068,0.43515661607186,270.0,52,53,53,0.8490566037735849,0.18867924528301888,0.8490566037735849
9,0.0,0.5574813137451807,0.08110843040049076,0.4011271397272746,273.0,58,53,53,0.8679245283018868,0.20754716981132076,0.8490566037735849
10,0.0,0.565137912829717,0.07470778003334999,0.4715975821018219,270.75,33,53,53,0.8867924528301887,0.18867924528301888,0.8490566037735849
11,0.0,0.5372178728381792,0.061806293204426765,0.44453584402799606,271.5,76,53,53,0.8490566037735849,0.1509433962264151,0.8679245283018868
12,0.0,0.5157516424854597,0.055078341936071716,0.4527667835354805,272.25,177,53,53,0.7924528301886793,0.1509433962264151,0.8490566037735849
13,0.0,0.5069651901721954,0.04601616753886143,0.3967580050230026,270.75,24,53,53,0.8867924528301887,0.18867924528301888,0.8679245283018868
14,0.0,0.4659661104281743,0.04466084080437819,0.43177273372809094,272.25,42,53,53,0.8867924528301887,0.16981132075471697,0.8113207547169812
15,0.0,0.4855356812477112,0.04833961557596922,0.40806082636117935,271.5,66,53,53,0.8679245283018868,0.18867924528301888,0.8490566037735849
16,0.0,0.4687517235676448,0.04381022291878859,0.4128343065579732,272.25,81,53,53,0.8679245283018868,0.20754716981132076,0.7924528301886793
