epoch,map50,l_box,l_obj,l_cls,n_pos,val_preds_kept,val_gt_images,val_gt_boxes,ap_aircraft,ap_ship,ap_human
1,0.12214122272350571,0.557809034983317,0.039301094288627304,0.04368560078243414,270.0,781,53,53,0.0,0.15362581339749423,0.0
2,0.12370527908205986,0.4480951602260272,0.02796613456060489,0.03708656163265308,270.75,768,53,53,0.0,0.16136363690549677,0.0
3,0.12401185658845035,0.4505375574032466,0.023172089985261362,0.0367362837617596,275.25,737,53,53,0.0,0.16287878833033823,0.0
4,0.12320458821275017,0.4269580841064453,0.019221327112366755,0.03400188342978557,272.25,713,53,53,0.0,0.16346153887835416,0.0
5,0.1183839040723714,0.4125165045261383,0.015701703960075974,0.03332403457413117,273.0,714,53,53,0.0,0.1637700538743626,0.0
6,0.11819558624516834,0.39331603795289993,0.011312712954046825,0.030754541823019583,270.0,710,53,53,0.0,0.16409090974114157,0.0
7,0.12334856695749542,0.37696488449970883,0.00904758235750099,0.031784152456869684,270.75,695,53,53,0.0,0.17254174568436362,0.0
8,0.12333469600840048,0.3641681397954623,0.008611965187204381,0.03052235922465722,270.0,688,53,53,0.0,0.17325228181752292,0.0
9,0.12478355081243948,0.3983096405863762,0.008683736862925192,0.03209870836387078,273.0,681,53,53,0.0,0.172889611937783,0.0
10,0.12668469006364996,0.3712143401304881,0.006991645476470391,0.03192631217340628,270.75,672,53,53,0.0,0.17579981142824347,0.0
