epoch,map50,l_box,l_obj,l_cls,n_pos,val_preds_kept,val_gt_images,val_gt_boxes,ap_aircraft,ap_ship,ap_human
1,0.0,0.46343344698349637,0.04089723154902458,0.061017173963288464,270.0,829,53,53,0.0,0.0,0.0
2,0.0,0.371185044447581,0.028907880031814177,0.05649705479542414,270.75,853,53,53,0.0,0.0,0.0
3,0.0,0.3599431167046229,0.020734846048677962,0.05094427584360043,273.0,872,53,53,0.0,0.0,0.0
4,0.0,0.36459289739529294,0.01942291242691378,0.04947972483932972,273.75,861,53,53,0.0,0.0,0.0
5,0.0,0.3280601004759471,0.014794267636413375,0.04616226783643166,273.0,860,53,53,0.0,0.0,0.0
6,0.0,0.32933681458234787,0.015356244674573341,0.04403913300484419,275.25,841,53,53,0.0,0.0,0.0
7,0.0,0.3120459169149399,0.014067475761597356,0.04477804712951183,272.25,835,53,53,0.0,0.0,0.0
8,0.0,0.31313544511795044,0.011778082931414247,0.04304106843968233,273.75,845,53,53,0.0,0.0,0.0
9,0.0,0.3000897665818532,0.011154118614892164,0.04129146380970875,270.0,844,53,53,0.0,0.0,0.0
10,0.0,0.30967042470971745,0.010037702973932028,0.05226920824497938,270.0,845,53,53,0.0,0.0,0.0
