epoch,map50,l_box,l_obj,l_cls,n_pos,val_preds_kept,val_gt_images,val_gt_boxes,ap_aircraft,ap_ship,ap_human
1,0.03030303120613098,0.46000858892997104,0.03732958622276783,0.04511842085048556,273.0,1686,53,53,0.0,0.03030303120613098,0.0
2,0.03030303120613098,0.35588598748048145,0.027279135615875322,0.04095654344807068,273.75,1684,53,53,0.0,0.03030303120613098,0.0
3,0.018181818452748386,0.35466570655504864,0.022397655993700027,0.040360236850877605,272.25,1663,53,53,0.0,0.018181818452748386,0.0
4,0.010101010176268492,0.3372994139790535,0.017867056808123987,0.03637355783333381,271.5,1544,53,53,0.0,0.010101010176268492,0.0
5,0.005865102464502508,0.3312031179666519,0.01744047723089655,0.03790913444633285,273.75,1424,53,53,0.0,0.005865102464502508,0.0
6,0.00275482101873918,0.3523112361629804,0.014176872714112202,0.03445981784413258,270.0,1272,53,53,0.0,0.00275482101873918,0.0
7,0.0009775171056389809,0.35374724368254346,0.01452414869951705,0.03341927798464894,274.5,1139,53,53,0.0,0.0009775171056389809,0.0
8,0.0004673989235677502,0.32647185275952023,0.014347620153178772,0.03482477444534501,269.25,1040,53,53,0.0,0.0004673989235677502,0.0
9,0.00028587763451717115,0.3295227140188217,0.012674548352758089,0.035603719763457775,272.25,1003,53,53,0.0,0.00028587763451717115,0.0
10,0.00010425354015420784,0.31641724208990735,0.009992560371756554,0.03176371365164717,270.0,992,53,53,0.0,0.00010425354015420784,0.0
