epoch,map50,l_box,l_obj,l_cls,n_pos,val_preds_kept,val_gt_images,val_gt_boxes,ap_aircraft,ap_ship,ap_human
1,0.0,0.46372376879056293,0.040999469657739006,0.06090075895190239,270.0,830,53,53,0.0,0.0,0.0
2,0.0,0.3695806662241618,0.028882416430860758,0.05615930569668611,270.75,849,53,53,0.0,0.0,0.0
3,0.0,0.35668008774518967,0.020593460494031508,0.05061561738451322,273.0,871,53,53,0.0,0.0,0.0
4,0.0,0.3707936878005664,0.020291783070812624,0.048967563857634865,273.75,850,53,53,0.0,0.0,0.0
5,0.0,0.32737409820159274,0.015721416333690286,0.047156370244920254,273.0,822,53,53,0.0,0.0,0.0
6,0.0,0.3439883540074031,0.014067714801058173,0.04252076925088962,275.25,823,53,53,0.0,0.0,0.0
7,0.0,0.3209608594576518,0.012698356760665774,0.042370433919131756,272.25,825,53,53,0.0,0.0,0.0
8,0.0,0.3077019254366557,0.011573140781062344,0.04345377224187056,273.75,808,53,53,0.0,0.0,0.0
9,0.0,0.2867458115021388,0.010654380273384353,0.04270461294800043,270.0,807,53,53,0.0,0.0,0.0
10,0.0,0.29559119045734406,0.008966849185526371,0.04370742151513696,270.0,808,53,53,0.0,0.0,0.0
