epoch,map50,l_box,l_obj,l_cls,n_pos,val_preds_kept,val_gt_images,val_gt_boxes,ap_aircraft,ap_ship,ap_human
1,0.0,0.4652527744571368,0.04103617494304975,0.0463254489004612,270.0,830,53,53,0.0,0.0,0.0
2,0.0,0.3697362045447032,0.02920911367982626,0.04272009897977114,270.75,850,53,53,0.0,0.0,0.0
3,0.0,0.36526859800020856,0.02112714620307088,0.038519163926442467,273.0,875,53,53,0.0,0.0,0.0
4,0.0,0.37010131776332855,0.02054673930009206,0.0377844978744785,273.75,860,53,53,0.0,0.0,0.0
5,0.0,0.3337048329412937,0.017128655609364312,0.036374746821820736,273.0,844,53,53,0.0,0.0,0.0
6,0.0,0.3387844537695249,0.01500718054982523,0.033157047970841326,275.25,829,53,53,0.0,0.0,0.0
7,0.0,0.31374339510997135,0.012846321566030383,0.03277250984683633,272.25,817,53,53,0.0,0.0,0.0
8,0.0,0.32395656903584796,0.012002881344718238,0.03456672001630068,273.75,819,53,53,0.0,0.0,0.0
9,0.0,0.2938388039668401,0.010655295103788376,0.03361279610544443,270.0,815,53,53,0.0,0.0,0.0
10,0.0,0.29876075064142543,0.010381019208580256,0.038315596990287304,270.0,823,53,53,0.0,0.0,0.0
