epoch,map50,l_box,l_obj,l_cls,n_pos,val_preds_kept,val_gt_images,val_gt_boxes,ap_aircraft,ap_ship,ap_human
1,0.0,0.4660704384247462,0.04105557377139727,0.04631066477547089,270.0,829,53,53,0.0,0.0,0.0
2,0.0,0.36476623515288037,0.02921038990219434,0.042749542742967606,270.75,852,53,53,0.0,0.0,0.0
3,0.0,0.36391879618167877,0.02111112178924183,0.03862080629914999,273.0,870,53,53,0.0,0.0,0.0
4,0.0,0.36932389686505,0.019183656278376777,0.03768368189533552,273.75,855,53,53,0.0,0.0,0.0
5,0.0,0.3215249826510747,0.016218709759414196,0.03555006316552559,273.0,841,53,53,0.0,0.0,0.0
6,0.0,0.3206949755549431,0.013567131788780292,0.03171165566891432,275.25,826,53,53,0.0,0.0,0.0
7,0.0,0.2965892056624095,0.011349382111802697,0.03196505752081672,272.25,824,53,53,0.0,0.0,0.0
8,0.0,0.31036432832479477,0.012274661411841711,0.03530183589706818,273.75,827,53,53,0.0,0.0,0.0
9,0.0,0.29621754586696625,0.010896679324408373,0.03223332498843471,270.0,824,53,53,0.0,0.0,0.0
10,0.0,0.30408086503545445,0.011171717235508064,0.03611660531411568,270.0,814,53,53,0.0,0.0,0.0
