epoch,map50,l_box,l_obj,l_cls,n_pos,val_preds_kept,val_gt_images,val_gt_boxes,ap_aircraft,ap_ship,ap_human
1,0.12216357785192403,0.5609660670161247,0.03926304572572311,0.05681565093497435,270.0,779,53,53,0.0,0.15362581339749423,0.0
2,0.12367911467498,0.45167768001556396,0.026798020737866562,0.04802899528294802,270.75,765,53,53,0.0,0.16136363690549677,0.0
3,0.12401185658845035,0.4385471319158872,0.022774741053581238,0.04607835986341039,275.25,733,53,53,0.0,0.1626033051447435,0.0
4,0.12015151537277481,0.4231526106595993,0.018428591235230368,0.04350377650310596,272.25,721,53,53,0.0,0.16346153887835416,0.0
5,0.11812889914621007,0.4097048615415891,0.01476004448098441,0.0420281778400143,273.0,722,53,53,0.0,0.16442486101930792,0.0
6,0.11818629469383847,0.3868993893265724,0.010134682602559527,0.04028850235044956,270.0,716,53,53,0.0,0.16477272727272727,0.0
7,0.11755793236873367,0.3624452178676923,0.009290271361048022,0.03978366528948148,270.75,705,53,53,0.0,0.16632231392643668,0.0
8,0.11957844922488386,0.3667415877183278,0.007694641671453913,0.03876010421663523,270.0,700,53,53,0.0,0.16632231392643668,0.0
9,0.11757337166504427,0.3893093417088191,0.007451894576661289,0.040676656334350504,273.0,695,53,53,0.0,0.17532467706636948,0.0
10,0.11956348405642943,0.3639001250267029,0.006525432419342299,0.04117894607285658,270.75,683,53,53,0.0,0.17363071848045697,0.0
