epoch,map50,l_box,l_obj,l_cls,n_pos,val_preds_kept,val_gt_images,val_gt_boxes,ap_aircraft,ap_ship,ap_human
1,0.0,0.4655878394842148,0.04104571851591269,0.046322562731802464,270.0,831,53,53,0.0,0.0,0.0
2,0.0,0.36799991379181546,0.029166960157454014,0.04272833497573932,270.75,851,53,53,0.0,0.0,0.0
3,0.0,0.36323539664347965,0.020749033506338794,0.038752718828618526,273.0,874,53,53,0.0,0.0,0.0
4,0.0,0.3671187659104665,0.019826562066252034,0.03750077402219176,273.75,857,53,53,0.0,0.0,0.0
5,0.0,0.3284757137298584,0.015658932893226545,0.03579593791315953,273.0,832,53,53,0.0,0.0,0.0
6,0.0,0.3411044478416443,0.01423911207045118,0.0326867156351606,275.25,824,53,53,0.0,0.0,0.0
7,0.0,0.3115682403246562,0.012483796415229639,0.03302068589255214,272.25,816,53,53,0.0,0.0,0.0
8,0.0,0.31758735328912735,0.011572008409226934,0.033596587367355824,273.75,812,53,53,0.0,0.0,0.0
9,0.0,0.30069556335608166,0.010960202004450062,0.03222589877744516,270.0,810,53,53,0.0,0.0,0.0
10,0.0,0.3088351512948672,0.009848253995490571,0.03498628347491225,270.0,807,53,53,0.0,0.0,0.0
